,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
CLMcom-ETH.HadGEM2-ES.COSMO-crCLIM-v1-1.r1i1p1.rcp85,HadGEM2-ES,COSMO-crCLIM-v1-1,rcp85,r1i1p1,CLMcom-ETH,HadGEM2-ES.v2-r5.WETTREG2013.rcp85,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
CLMcom-ETH.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.r1i1p1.rcp85,M-MPI-ESM-LR,COSMO-crCLIM-v1-1,rcp85,r1i1p1,CLMcom-ETH,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom-ETH.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.r2i1p1.rcp85,M-MPI-ESM-LR,COSMO-crCLIM-v1-1,rcp85,r2i1p1,CLMcom-ETH,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom-ETH.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.r3i1p1.rcp85,M-MPI-ESM-LR,COSMO-crCLIM-v1-1,rcp85,r3i1p1,CLMcom-ETH,111,111,111,111,111,111,111,11,11.0,11.0,111.0,111.0,11.0
CLMcom-ETH.NorESM1-M.COSMO-crCLIM-v1-1.r1i1p1.rcp85,NorESM1-M,COSMO-crCLIM-v1-1,rcp85,r1i1p1,CLMcom-ETH,GERICS.NorESM1-M.REMO2015.r1i1p1.rcp85,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp45,CERFACS-CNRM-CM5,CCLM4-8-17,rcp45,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,CERFACS-CNRM-CM5,CCLM4-8-17,rcp85,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp26,EC-EARTH,CCLM4-8-17,rcp26,r12i1p1,CLMcom,111,11,111,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp45,EC-EARTH,CCLM4-8-17,rcp45,r12i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp85,EC-EARTH,CCLM4-8-17,rcp85,r12i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.MIROC5.CCLM4-8-17.r1i1p1.rcp26,MIROC5,CCLM4-8-17,rcp26,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.HadGEM2-ES.CCLM4-8-17.r1i1p1.rcp45,HadGEM2-ES,CCLM4-8-17,rcp45,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
CLMcom.HadGEM2-ES.CCLM4-8-17.r1i1p1.rcp85,HadGEM2-ES,CCLM4-8-17,rcp85,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
CLMcom.M-MPI-ESM-LR.CCLM4-8-17.r1i1p1.rcp45,M-MPI-ESM-LR,CCLM4-8-17,rcp45,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CLMcom.M-MPI-ESM-LR.CCLM4-8-17.r1i1p1.rcp85,M-MPI-ESM-LR,CCLM4-8-17,rcp85,r1i1p1,CLMcom,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,CERFACS-CNRM-CM5,HIRHAM5,rcp85,r1i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp26,EC-EARTH,HIRHAM5,rcp26,r3i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp45,EC-EARTH,HIRHAM5,rcp45,r3i1p1,DMI,111,111,111,111,111,111,111,11,11.0,11.0,111.0,111.0,11.0
DMI.EC-EARTH.HIRHAM5.r12i1p1.rcp85,EC-EARTH,HIRHAM5,rcp85,r12i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DMI.EC-EARTH.HIRHAM5.r1i1p1.rcp85,EC-EARTH,HIRHAM5,rcp85,r1i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp85,EC-EARTH,HIRHAM5,rcp85,r3i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DMI.HadGEM2-ES.HIRHAM5.r1i1p1.rcp45,HadGEM2-ES,HIRHAM5,rcp45,r1i1p1,DMI,111,111,111,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
DMI.HadGEM2-ES.HIRHAM5.r1i1p1.rcp85,HadGEM2-ES,HIRHAM5,rcp85,r1i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
DMI.M-MPI-ESM-LR.HIRHAM5.r1i1p1.rcp85,M-MPI-ESM-LR,HIRHAM5,rcp85,r1i1p1,DMI,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
